example_index,path,total_steps_to_epsilon,total_loss_sum,final_loss,weight_distance,universal_difficulty_rank
46,/home/projects/bagon/shared/imagenet512/val/n02514041/ILSVRC2012_val_00044660.JPEG,624,38.05644607543945,0.00099945068359375,0.14512828474857653,32607
885,/home/projects/bagon/shared/imagenet512/val/n02264363/ILSVRC2012_val_00011783.JPEG,329,25.099206924438477,0.0009946823120117188,0.08185881064150904,44176
47,/home/projects/bagon/shared/imagenet512/val/n02113712/ILSVRC2012_val_00031963.JPEG,539,33.07909965515137,0.0009927749633789062,0.1438311651341441,32639
886,/home/projects/bagon/shared/imagenet512/val/n04330267/ILSVRC2012_val_00049277.JPEG,582,112.27102565765381,0.0009765625,0.09421362086202352,44181
48,/home/projects/bagon/shared/imagenet512/val/n01675722/ILSVRC2012_val_00039886.JPEG,265,13.084165573120117,0.0009975433349609375,0.07761446096296713,32648
887,/home/projects/bagon/shared/imagenet512/val/n02268443/ILSVRC2012_val_00000418.JPEG,312,28.9299259185791,0.0009927749633789062,0.07860245859423529,44203
888,/home/projects/bagon/shared/imagenet512/val/n02786058/ILSVRC2012_val_00036161.JPEG,242,43.55754470825195,0.0009984970092773438,0.07459174858206245,44211
49,/home/projects/bagon/shared/imagenet512/val/n03785016/ILSVRC2012_val_00044191.JPEG,591,37.8164644241333,0.0009984970092773438,0.14653374946928785,32705
889,/home/projects/bagon/shared/imagenet512/val/n02093991/ILSVRC2012_val_00005867.JPEG,165,45.47202968597412,0.0009937286376953125,0.06605199811489071,44214
50,/home/projects/bagon/shared/imagenet512/val/n02117135/ILSVRC2012_val_00025662.JPEG,205,3.55637264251709,0.0009975433349609375,0.0496712309488328,32717
890,/home/projects/bagon/shared/imagenet512/val/n03297495/ILSVRC2012_val_00001545.JPEG,538,67.3694896697998,0.00099945068359375,0.13397303206404446,44228
51,/home/projects/bagon/shared/imagenet512/val/n01749939/ILSVRC2012_val_00021593.JPEG,550,105.84904670715332,0.0009899139404296875,0.08681395025800477,32743
891,/home/projects/bagon/shared/imagenet512/val/n04370456/ILSVRC2012_val_00031379.JPEG,307,131.15325355529785,0.0009975433349609375,0.08755604535092967,44239
52,/home/projects/bagon/shared/imagenet512/val/n02111277/ILSVRC2012_val_00025805.JPEG,222,58.87963581085205,0.0009946823120117188,0.08139898268002775,32808
892,/home/projects/bagon/shared/imagenet512/val/n12144580/ILSVRC2012_val_00008231.JPEG,488,40.97262382507324,0.0009908676147460938,0.11169431758758197,44242
53,/home/projects/bagon/shared/imagenet512/val/n02101006/ILSVRC2012_val_00016804.JPEG,470,24.420560836791992,0.0009975433349609375,0.08720011717037546,32848
54,/home/projects/bagon/shared/imagenet512/val/n02795169/ILSVRC2012_val_00034952.JPEG,259,12.25487995147705,0.0009965896606445312,0.07155955563144278,32929
893,/home/projects/bagon/shared/imagenet512/val/n02089867/ILSVRC2012_val_00030025.JPEG,453,52.88697910308838,0.000995635986328125,0.11570834203747642,44256
894,/home/projects/bagon/shared/imagenet512/val/n03970156/ILSVRC2012_val_00032246.JPEG,254,262.6580419540405,0.0009889602661132812,0.11469482199969261,44277
55,/home/projects/bagon/shared/imagenet512/val/n04209133/ILSVRC2012_val_00030130.JPEG,417,33.60489845275879,0.0009965896606445312,0.11312545736218439,32945
56,/home/projects/bagon/shared/imagenet512/val/n04136333/ILSVRC2012_val_00039558.JPEG,200,56.008928298950195,0.0009975433349609375,0.07528681391087529,33127
895,/home/projects/bagon/shared/imagenet512/val/n01688243/ILSVRC2012_val_00017338.JPEG,297,148.85887050628662,0.000995635986328125,0.07700635168584638,44322
57,/home/projects/bagon/shared/imagenet512/val/n01748264/ILSVRC2012_val_00015596.JPEG,396,28.033191680908203,0.0009965896606445312,0.09108140344513774,33129
58,/home/projects/bagon/shared/imagenet512/val/n02988304/ILSVRC2012_val_00003491.JPEG,266,35.047542572021484,0.0009946823120117188,0.09415955577834063,33196
59,/home/projects/bagon/shared/imagenet512/val/n02091032/ILSVRC2012_val_00006054.JPEG,199,14.721355438232422,0.0009965896606445312,0.06066342187791882,33210
896,/home/projects/bagon/shared/imagenet512/val/n02504013/ILSVRC2012_val_00034035.JPEG,886,149.5628023147583,0.0009908676147460938,0.15002172061908844,44332
897,/home/projects/bagon/shared/imagenet512/val/n03720891/ILSVRC2012_val_00009143.JPEG,210,284.2819013595581,0.0009937286376953125,0.07970576980477324,44343
60,/home/projects/bagon/shared/imagenet512/val/n03770439/ILSVRC2012_val_00042096.JPEG,331,62.91247272491455,0.0009984970092773438,0.12703259467157701,33311
